game_id,game_duration,wins,first_blood,first_tower,first_baron,first_dragon,first_inhibitor,dragon_kills,baron_kills,tower_kills,inhibitor_kills,ward_placed,wardkills,kills,death,assist,champion_damage_dealt,total_gold,total_minion_kills,total_level,avg_level,jungle_minion_kills,killing_spree,total_heal,object_damage_dealt
4217472719,1807,1,1,1,1,0,1,3,1,11,3,54,14,36,31,40,106744,61019,609,77,15.4,150,7,37113,83734
4122052325,1637,1,0,1,1,0,1,0,1,8,1,99,27,30,19,58,75619,55244,556,73,14.6,160,9,22457,64576
4022437625,1649,0,1,0,0,1,0,2,0,3,0,72,46,16,29,26,53605,50940,705,69,13.8,200,4,27286,35471
4136732470,1393,1,1,1,0,1,0,4,0,4,0,66,22,25,14,33,61999,48117,570,63,12.6,143,8,29854,60731
4022437701,1726,0,0,0,0,0,0,1,0,3,0,97,39,15,26,23,56742,47933,708,67,13.4,123,5,20036,23260
3980494675,1110,0,1,0,0,0,0,0,0,0,0,44,9,12,28,17,40391,30784,432,51,10.2,82,3,8936,3882
4073293678,1738,1,0,0,1,0,1,3,1,11,3,61,21,41,28,43,94326,64438,684,78,15.6,208,7,35583,70243
4076963743,1469,1,0,0,0,0,1,2,0,9,1,62,28,24,10,45,69294,50584,667,68,13.6,157,6,27859,41521
4133586890,1919,1,0,0,1,1,0,3,2,11,4,101,28,28,29,60,90529,68678,819,82,16.4,224,10,36390,73922
4169762816,1147,0,0,0,0,0,0,0,0,0,0,55,20,5,12,4,23304,30825,549,54,10.8,90,1,14954,15030
4130965528,1119,0,1,0,0,0,0,0,0,0,0,47,18,6,19,7,32455,28288,413,49,9.8,120,1,13337,10147
4101605474,1458,1,1,1,1,0,0,1,1,5,0,72,26,24,12,42,58530,46189,534,65,13.0,127,4,27882,73346
4081682534,1299,1,1,1,0,1,1,3,0,8,1,52,21,25,7,38,51259,44724,519,61,12.2,148,7,20790,59584
4060186852,660,0,0,0,0,0,0,0,0,2,0,11,0,8,6,11,11244,17770,152,28,5.6,2,2,2616,8736
